Timestamp,Please enter how many questions you answered correctly on the test (0 - 18),What do you think the average score among all MDS students was (0 - 18)?
1/14/2021 8:54:24,6,10
1/14/2021 9:09:14,6,5
1/14/2021 9:33:11,9,10
1/14/2021 9:38:12,6,5
1/14/2021 11:07:42,3,3
1/14/2021 12:20:02,5,6
1/14/2021 13:33:09,8,5
1/14/2021 14:23:30,12,10
1/14/2021 16:28:18,7,7
1/15/2021 11:16:44,3,4
1/15/2021 15:33:40,10,8
1/15/2021 15:36:13,6,5
1/15/2021 18:13:54,1,3
1/16/2021 13:46:58,6,7
1/16/2021 19:56:51,3,7
1/19/2021 18:36:21,11,11
1/19/2021 18:48:00,6,6
1/19/2021 23:47:16,4,8
10/7/2021 13:55:10,10,8
10/7/2021 14:11:30,4,6
10/7/2021 14:24:01,9,8
10/7/2021 14:24:10,8,9
10/7/2021 14:26:46,10,10
10/7/2021 14:38:06,7,9
10/7/2021 14:50:47,5,7
10/7/2021 15:02:25,3,7
10/7/2021 15:08:43,4,5
10/7/2021 15:18:38,16,10
10/7/2021 15:19:09,12,10
10/7/2021 15:29:36,10,10
10/7/2021 15:43:10,8,6
10/7/2021 15:46:55,9,8
10/7/2021 15:51:45,6,8
10/7/2021 18:26:22,9,9
10/7/2021 18:58:30,4,6
10/7/2021 19:28:52,4,10
10/7/2021 22:55:35,9,6
10/8/2021 12:24:47,10,10
10/8/2021 12:43:10,6,9
10/8/2021 13:24:55,6,6
10/8/2021 15:24:39,11,11
10/8/2021 18:01:55,8,8
10/8/2021 18:13:39,8,6
10/8/2021 22:46:41,7,9
10/9/2021 9:33:35,9,9
10/9/2021 9:55:52,8,8
10/9/2021 13:05:58,5,3
10/9/2021 13:35:44,6,4
10/9/2021 15:13:39,8,12
10/9/2021 15:25:59,4,3
10/9/2021 20:59:34,7,10
10/9/2021 21:46:40,3,3
10/10/2021 9:46:52,10,10
10/10/2021 10:09:44,6,10
10/10/2021 13:11:30,13,10
10/10/2021 15:26:46,6,4
10/10/2021 15:33:44,7,10
10/10/2021 21:32:19,6,9
10/10/2021 23:09:57,6,10
10/11/2021 0:30:46,13,12
10/11/2021 11:39:47,7,10
10/11/2021 13:56:34,8,8
10/11/2021 18:23:40,10,7
10/11/2021 19:58:00,10,12
10/11/2021 21:00:01,5,9
10/11/2021 21:57:29,6,12
10/12/2021 21:07:48,11,13
10/12/2021 23:55:15,7,9
10/13/2021 13:04:36,10,10
10/13/2021 14:03:31,5,9
10/13/2021 14:13:25,5,8
10/13/2021 14:16:55,9,8
10/13/2021 14:28:01,6,6
10/13/2021 14:31:02,5,8
10/13/2021 15:04:11,13,16
10/13/2021 15:57:00,10,7
10/13/2021 17:04:10,9,9
10/14/2021 15:51:37,9,6
10/14/2021 20:49:04,12,9
10/15/2021 0:58:35,13,15
10/15/2021 15:16:27,8,8
10/15/2021 17:03:38,3,5
10/15/2021 22:36:43,6,10
10/16/2021 1:39:10,9,9
10/16/2021 12:11:40,10,13
10/16/2021 19:26:54,9,12
